Tweets,len,ID,Date,Source,Likes,RTs
"RT @vox_es: ‼ @Santi_ABASCAL ""Son unos buenos resultados para VOX pero sobre todo son unos buenos resultados para España porque suponen un…",139,1389716466304491522,2021-05-04 22:59:59,Twitter for iPhone,0,0
"RT @mtgarcia82: Que gane el PP en un barrio obrero y pendientes de ayudas para poder comer, NO es nada nuevo en otras ciudades de España. O…",140,1389716466195472388,2021-05-04 22:59:59,Twitter for Android,0,0
"RT @elsitacabello: Ahora sí, lo puedo decir, meteros los aplausos por donde os quepan.
#Elecciones4M",100,1389716465390080002,2021-05-04 22:59:59,Twitter for Android,0,0
"RT @YTanRicamente: Esta casa apoya a @Yolanda_Diaz_, encargada de reunir a TODA la izquierda española y convertirse en la próxima President…",140,1389716465205583877,2021-05-04 22:59:59,Twitter Web App,0,0
RT @Juanmi_News: Qué asco tener que ver que los que pisotean el colectivo LGTBI en sus votaciones en parlamentos saquen la bandera LGTBI.…,138,1389716462936412164,2021-05-04 22:59:59,Twitter for Android,0,0
"RT @La_SER: 🔴 DIRECTO | Así ha votado el presidente de España, Pedro Sánchez, en las elecciones a la Comunidad de Madrid

https://t.co/FdQK…",140,1389716462584176641,2021-05-04 22:59:59,Twitter for Android,0,0
RT @el_pais: VÍDEO | Así ha sido la despedida de Pablo Iglesias de la política tras la derrota de la izquierda en Madrid  #Elecciones4M htt…,140,1389716459178319875,2021-05-04 22:59:58,Twitter for iPhone,0,0
RT @ExpositoCOPE: Tras las #Elecciones4M... veremos cómo se gestiona esto https://t.co/E802umXpyw,97,1389716458956013569,2021-05-04 22:59:58,Twitter for iPhone,0,0
RT @ExpositoCOPE: Tras las #Elecciones4M... veremos cómo se gestiona esto https://t.co/E802umXpyw,97,1389716458586902534,2021-05-04 22:59:58,Twitter for Android,0,0
"A Pablo Iglesias le darán un cargo en la aerolínea Plus Ultra? 
Digo, como recompensa por el dinero que les regalar… https://t.co/OcqLUcRFYW",140,1389716456204644365,2021-05-04 22:59:57,Twitter for Android,2,1
"RT @vox_es: ‼ @monasterioR ""Es el comienzo de un cambio de rumbo para toda España"".

 #Elecciones4M https://t.co/QAyjwIOL8h",123,1389716451204927490,2021-05-04 22:59:56,Twitter for iPhone,0,0
"RT @donaji_alba: Junto a @PabloIglesias, la comunidad de Madrid hoy se juega en las urnas la batalla contra el avance de la extrema derecha…",140,1389716448474406915,2021-05-04 22:59:55,Twitter for Android,0,0
"RT @Diario_16: José Antequera, subdirector de @Diario_16, en #Debate16: ""Esto que está pasando en Madrid es un fenómeno que ya conocen en l…",140,1389716447572672513,2021-05-04 22:59:55,Twitter for iPhone,0,0
"RT @elsitacabello: Ahora sí, lo puedo decir, meteros los aplausos por donde os quepan.
#Elecciones4M",100,1389716446893256707,2021-05-04 22:59:55,Twitter for Android,0,0
"Que os den por culo izquierdistas, que vais a tener que vivir con el ""fascismo""
JODEOS #Elecciones4M",100,1389716445085511684,2021-05-04 22:59:54,Twitter Web App,2,0
🎥 Fuentes de Ciudadanos aseguran a Antena 3 Noticias que Inés Arrimadas no va a dimitir tras los resultados de las… https://t.co/SX4vOGfIRq,139,1389716443156123649,2021-05-04 22:59:54,Twitter for iPhone,13,3
"Así cambio Madrid.
De izquierdas a derechas en dos años.
#4M #Madrid #Elecciones4M https://t.co/78Q0ay3DFg",106,1389716439049834501,2021-05-04 22:59:53,Twitter for Android,0,0
RT @ExpositoCOPE: Tras las #Elecciones4M... veremos cómo se gestiona esto https://t.co/E802umXpyw,97,1389716438173224960,2021-05-04 22:59:53,Twitter for Android,0,0
"RT @IzcaNacional: Cuando reivindicamos la municipalización de Vallekas o Vicálvaro, no es por una cuestión folklórica, es porque es una nec…",140,1389716436751458312,2021-05-04 22:59:52,Twitter Web App,0,0
"RT @vox_es: ‼ @monasterioR ""Es el comienzo de un cambio de rumbo para toda España"".

 #Elecciones4M https://t.co/QAyjwIOL8h",123,1389716436545908744,2021-05-04 22:59:52,Twitter for Android,0,0
"Resumen de estas elecciones: 

A relaxing caña madrileña en la plaza mayor gana al bien común. Bienvenido trumpismo… https://t.co/JXYWvbSaKu",140,1389716434914320387,2021-05-04 22:59:52,Twitter for Android,0,0
"RT @vox_es: ‼ @Santi_ABASCAL ""Son unos buenos resultados para VOX pero sobre todo son unos buenos resultados para España porque suponen un…",139,1389716433702203392,2021-05-04 22:59:52,Twitter for Android,0,0
"RT @Diario_16: 🔴📩 Continúa el escrutinio (95.6%) de las #Elecciones4M #4MDiario16
#EleccionesMadrid2021  

 PP (65)
 MÁS MADRID (24)
 P.S.O…",140,1389716432498434052,2021-05-04 22:59:51,Twitter for iPhone,0,0
"RT @predi88: Formas de dejar la política:
Albert Rivera &gt; Asumo mis fallos, pido perdón y me retiro.
Pablo Iglesias &gt; He sido víctima de to…",146,1389716430967410690,2021-05-04 22:59:51,Twitter for Android,0,0
